2026-09-09T21:01:21+08:00
---PBSNODES -aSj---
                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
--------------- --------------- ------ ----- ------ ------------ ------- ------- ------- -------
60828.gaas      yongcha* gpu_ded  elf_gsm8k* 820368   1  24  500gb 48:00 R 07:38
60829.gaas      lees0224 gpu_free dtm_cd_abl    --    1  12  250gb 04:00 Q   -- 
60863.gaas      hzhang0* gpu_as   wan22_40k* 11768*   1  12  250gb 300:0 R 06:59
60913[].gaas    xianbin* gpu_aisg sh-astra      --    1   4   40gb 72:00 B   -- 
60920.gaas      fengmin* gpu_ded  eval_dsr   909243   1  12  250gb 120:0 R 05:06
60936.gaas      lees0224 gpu_free dtm_cd_abl    --    1  12  250gb 04:00 Q   -- 
60958.gaas      zechen.* gpu_as   down17     21803*   1  12  250gb 120:0 R 03:47
60960.gaas      zhang.t* gpu_as   sadt_q350* 38245*   1  12  250gb 168:0 R 03:44
60964.gaas      c260029  gpu_as   adaptive   38297*   1  12  250gb 06:00 R 03:35
60967.gaas      kng122   gpu_ded  STDIN      10089*   1  12  250gb 05:00 R 03:18
60969.gaas      jin.jun  gpu_ded  vmm-swpro* 12616*   1  12  250gb 12:00 R 00:53
60985.gaas      qisheng* gpu_as   ws_teach_* 29576*   1  48  1000g 06:00 R 02:58
60987.gaas      tuongtu* gpu_as   my_grpo    38835*   1  12  250gb 04:00 R 02:38
61000.gaas      durv0003 gpu_as   sefm_spec*    --    1  12  250gb 24:00 Q   -- 
61004.gaas      tianle0* gpu_as   d02aG      39133*   1  12  250gb 12:00 R 01:42
61005.gaas      tianle0* gpu_as   d02fail11g 14518*   1  12  250gb 12:00 R 01:42
61009.gaas      ismailm* gpu_as   infdepth-*    --    1  48  1000g 00:45 Q   -- 
61015.gaas      anhminh* gpu_ded  v3pool_14B 15037*   1  12  250gb 240:0 R 00:26
61020.gaas      yao.ni   gpu_ded  Car_M1_10* 236617   1  12  250gb 01:00 R 00:16
61021.gaas      yao.ni   gpu_ded  Car_M1_15* 237095   1  12  250gb 01:00 R 00:16
61023.gaas      zhixuan* gpu_as   t3_det_lr6 11085*   1  48  1000g 48:00 R 00:50
61025.gaas      wzheng0* gpu_ded  v7_pro_ev* 164841   1  12  250gb 48:00 R 00:26
61030[].gaas    zhang.t* gpu_as   mn201_mix*    --    1  12  250gb 24:00 B   -- 
61035.gaas      zhang.t* gpu_as   mn201_bas*    --    1  12  250gb 24:00 H   -- 
61036.gaas      zhang.t* gpu_as   mn201_ssl     --    1  12  250gb 24:00 H   -- 
61037.gaas      zhang.t* gpu_as   mn201_sen*    --    1  12  250gb 24:00 H   -- 
61038.gaas      zhang.t* gpu_as   mn201_rep*    --    1  12  250gb 24:00 H   -- 
61040.gaas      lees0224 gpu_free dtm_cd_abl    --    1  12  250gb 04:00 Q   -- 
61041.gaas      zhang.t* gpu_as   train.pbs     --    1  12  250gb 01:00 Q   -- 
61042.gaas      zhang.t* gpu_as   train.pbs     --    1  12  250gb 01:00 Q   -- 
61044.gaas      zhao0378 gpu_as   STDIN      31259*   1  48  1000g 120:0 R 00:26
61046.gaas      wzheng0* gpu_ded  v7_pro_ev* 15039*   1  12  250gb 48:00 R 00:26
61047.gaas      tianle0* gpu_as   d02evS     14947*   1  12  250gb 08:00 R 00:25
61048.gaas      caoq0017 gpu_free STDIN      36859*   1  12  250gb 04:00 R 00:22
61049[].gaas    xianbin* gpu_ded  sh-multin*    --    2 192  4000g 96:00 B   -- 
61053.gaas      hong0259 gpu_free ab-serve   37019*   1  12  250gb 03:50 R 00:03
61054.gaas      rongjia* gpu_as   venezuela* 15073*   1  12  250gb 02:00 R 00:02
61055.gaas      pham0094 gpu_as   hpl_mxp_n* 39419*   3 144  3000g 00:30 R 00:01
