2026-09-10T08:01:33+08:00
---PBSNODES -aSj---
                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
--------------- --------------- ------ ----- ------ ------------ ------- ------- ------- -------
61249.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61250.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61251.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61252.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61253.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61254.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61255.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61256.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61257.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61258.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61259.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61260.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61261.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61262.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61263.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61264.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61265.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61266.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61267.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61268.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61269.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61270.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61271.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61272.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61273.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61274.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61275.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61276.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61277.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61278.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
